season,matchid,player,playerid,eventtype,minute,team
2019-2020,de0ec650,Divock Origi,43a166b4,goal,6,h
2019-2020,de0ec650,Xherdan Shaqiri,6421ec64,goal,17,h
2019-2020,de0ec650,Divock Origi,43a166b4,goal,31,h
2019-2020,de0ec650,Sadio Mané,c691bfe2,goal,45,h
2019-2020,de0ec650,Georginio Wijnaldum,eb58eef0,goal,90,h
2019-2020,de0ec650,Michael Keane,c5b7c315,goal,21,a
2019-2020,de0ec650,Richarlison,fa031b34,goal,45+3,a
2019-2020,8a9fa2d9,Allan Saint-Maximin,2b16cb1a,goal,15,a
2019-2020,8a9fa2d9,Jonjo Shelvey,3727dd3c,goal,70,a
2019-2020,372828cb,Alexandre Lacazette,9dbb75ca,goal,50,h
2019-2020,372828cb,Adam Webster,c40b6180,goal,36,a
2019-2020,372828cb,Neal Maupay,4bcf39f6,goal,80,a
2019-2020,1b69dd66,Richarlison,fa031b34,goal,5,h
2019-2020,1b69dd66,Dominic Calvert-Lewin,59e6e5bf,goal,49,h
2019-2020,1b69dd66,Dominic Calvert-Lewin,59e6e5bf,goal,84,h
2019-2020,1b69dd66,Mateo Kovačić,79c0821a,goal,52,a
2019-2020,b7f0ca17,Alex Oxlade-Chamberlain,38c7feef,goal,35,a
2019-2020,b7f0ca17,Naby Keïta,f25c8e3a,goal,44,a
2019-2020,b7f0ca17,Mohamed Salah,e342ad68,goal,54,a
2019-2020,56da163b,Harry Kane,21a66f6a,goal,4,h
2019-2020,56da163b,Lucas Moura,2b622f01,goal,9,h
2019-2020,56da163b,Son Heung-min,92e7e919,goal,32,h
2019-2020,56da163b,Harry Kane,21a66f6a,goal,54,h
2019-2020,56da163b,Moussa Sissoko,2acd49b9,goal,74,h
2019-2020,bf9c0d50,Nicolás Otamendi,0d267745,goal,85,h
2019-2020,bf9c0d50,Marcus Rashford,a1d5bd30,penalty_goal,23,a
2019-2020,bf9c0d50,Anthony Martial,8b788c01,goal,29,a
2019-2020,559e812a,Jack Grealish,b0b4fd3e,goal,45+2,h
2019-2020,559e812a,Jamie Vardy,45963054,goal,20,a
2019-2020,559e812a,Kelechi Iheanacho,c92e1a31,goal,41,a
2019-2020,559e812a,Jonny Evans,f8fcd2a5,goal,49,a
2019-2020,559e812a,Jamie Vardy,45963054,goal,75,a
2019-2020,5d9f7fe3,Jonjo Shelvey,3727dd3c,goal,68,h
2019-2020,5d9f7fe3,Federico Fernández,f25b010f,goal,87,h
2019-2020,5d9f7fe3,Danny Ings,07802f7f,goal,52,a
2019-2020,529b20fa,Alexander Tettey,75566759,goal,27,h
2019-2020,529b20fa,Enda Stevens,17d4507a,goal,49,a
2019-2020,529b20fa,George Baldock,394854c4,goal,52,a
2019-2020,daad5806,Neal Maupay,4bcf39f6,goal,34,h
2019-2020,daad5806,Davy Pröpper,fdd85f94,goal,36,h
2019-2020,daad5806,Diogo Jota,178ae8f8,goal,28,a
2019-2020,daad5806,Diogo Jota,178ae8f8,goal,44,a
2019-2020,a48c4638,Angelo Ogbonna,74b2cd7e,goal,38,h
2019-2020,a48c4638,Martinelli,48a5a5d6,goal,60,a
2019-2020,a48c4638,Nicolas Pépé,57e3f0c7,goal,66,a
2019-2020,a48c4638,Pierre-Emerick Aubameyang,d5dd5f1f,goal,69,a
2019-2020,f33bb4b3,Mohamed Salah,e342ad68,goal,38,h
2019-2020,f33bb4b3,Mohamed Salah,e342ad68,goal,90,h
2019-2020,b75094e0,Dan Gosling,7fec31a0,goal,84,a
2019-2020,3b2eb152,Tim Krul,f23f9d20,own_goal,38,h
2019-2020,3b2eb152,Teemu Pukki,0745b37d,goal,26,a
2019-2020,b1b5e590,John Fleck,b63e789d,goal,50,h
2019-2020,b1b5e590,John Fleck,b63e789d,goal,73,h
2019-2020,4c3c57fa,Chris Wood,4e9a0555,goal,58,h
2019-2020,a47901a8,Sébastien Haller,ba115a40,goal,37,a
2019-2020,e9e002fb,Adama Traoré,9a28eba4,goal,67,h
2019-2020,e9e002fb,Lucas Moura,2b622f01,goal,8,a
2019-2020,e9e002fb,Jan Vertonghen,ba23a904,goal,90+1,a
2019-2020,240ac5ad,Mason Greenwood,58eee997,goal,77,h
2019-2020,240ac5ad,Victor Lindelöf,f5deef4c,own_goal,36,a
2019-2020,bed05936,Kevin De Bruyne,e46012d4,goal,2,a
2019-2020,bed05936,Raheem Sterling,b400bde0,goal,15,a
2019-2020,bed05936,Kevin De Bruyne,e46012d4,goal,40,a
2019-2020,1163ec4a,Wilfried Zaha,b2bc3b1f,goal,76,h
2019-2020,1163ec4a,Neal Maupay,4bcf39f6,goal,54,a
2019-2020,5e599d06,Miguel Almirón,862a1c15,goal,83,h
2019-2020,d50390a8,Jack Grealish,b0b4fd3e,goal,75,h
2019-2020,d50390a8,Danny Ings,07802f7f,goal,21,a
2019-2020,d50390a8,Jack Stephens,6adbc307,goal,31,a
2019-2020,d50390a8,Danny Ings,07802f7f,goal,51,a
2019-2020,473db5a3,Oliver McBurnie,78b8ac63,goal,23,a
2019-2020,e8b74ca0,Jay Rodriguez,4ab53cdb,goal,89,a
2019-2020,223124ce,Todd Cantwell,f63d8a4b,goal,17,h
2019-2020,223124ce,Romain Saïss,9fbbcf39,goal,60,a
2019-2020,223124ce,Raúl Jiménez,b561db50,goal,81,a
2019-2020,733c0243,Riyad Mahrez,892d5bb1,goal,30,h
2019-2020,733c0243,İlkay Gündoğan,819b3158,penalty_goal,43,h
2019-2020,733c0243,Gabriel Jesus,b66315ae,goal,69,h
2019-2020,733c0243,Jamie Vardy,45963054,goal,22,a
2019-2020,a58df282,Ismaila Sarr,bfdb33aa,goal,50,h
2019-2020,a58df282,Troy Deeney,82e34b69,penalty_goal,54,h
2019-2020,a1a20337,Son Heung-min,92e7e919,red_card,62,h
2019-2020,a1a20337,Willian,8b9ebd03,goal,12,a
2019-2020,a1a20337,Willian,8b9ebd03,penalty_goal,45+4,a
2019-2020,eebe09b9,Harry Kane,21a66f6a,goal,53,h
2019-2020,eebe09b9,Dele Alli,cea4ee8f,goal,72,h
2019-2020,eebe09b9,Adam Webster,c40b6180,goal,37,a
2019-2020,5b1ecf02,Dan Gosling,7fec31a0,goal,35,h
2019-2020,5b1ecf02,Pierre-Emerick Aubameyang,d5dd5f1f,goal,63,a
2019-2020,b23c6c90,Dominic Calvert-Lewin,59e6e5bf,goal,80,h
2019-2020,960ce979,Oliver Norwood,43439614,penalty_goal,36,h
2019-2020,960ce979,Gerard Deulofeu,39583cfd,goal,27,a
2019-2020,010301bf,Conor Hourihane,fcab00a0,goal,64,h
2019-2020,048fa915,Cheikhou Kouyaté,8d3c902d,goal,68,h
2019-2020,048fa915,Jordan Ayew,da052c14,goal,90,h
2019-2020,048fa915,Robert Snodgrass,9f4647e9,goal,57,a
2019-2020,d9a73d72,Michael Obafemi,caa1a7f0,goal,31,a
2019-2020,d9a73d72,Nathan Redmond,ab651565,goal,73,a
2019-2020,b3d5292f,Anthony Martial,8b788c01,goal,24,h
2019-2020,b3d5292f,Mason Greenwood,58eee997,goal,36,h
2019-2020,b3d5292f,Marcus Rashford,a1d5bd30,goal,41,h
2019-2020,b3d5292f,Anthony Martial,8b788c01,goal,51,h
2019-2020,b3d5292f,Matthew Longstaff,c0027d2d,goal,17,a
2019-2020,4b8063da,Roberto Firmino,4c370d81,goal,31,a
2019-2020,4b8063da,James Milner,2f90f6b8,penalty_goal,71,a
2019-2020,4b8063da,Roberto Firmino,4c370d81,goal,74,a
2019-2020,4b8063da,Trent Alexander-Arnold,cd1acf9d,goal,78,a
2019-2020,6defd3a2,Adama Traoré,9a28eba4,goal,55,h
2019-2020,6defd3a2,Raúl Jiménez,b561db50,goal,82,h
2019-2020,6defd3a2,Matt Doherty,d557d734,goal,89,h
2019-2020,6defd3a2,Ederson,3bb7b8b4,red_card,12,a
2019-2020,6defd3a2,Raheem Sterling,b400bde0,goal,25,a
2019-2020,6defd3a2,Raheem Sterling,b400bde0,goal,50,a
2019-2020,d7b72d7f,Alireza Jahanbakhsh,08452314,goal,3,h
2019-2020,d7b72d7f,Aaron Mooy,47b7e3af,goal,79,h
2019-2020,36dc1eb8,Troy Deeney,82e34b69,goal,42,h
2019-2020,36dc1eb8,Adrian Mariappa,8aa5f52c,yellow_red_card,57,h
2019-2020,36dc1eb8,Troy Deeney,82e34b69,penalty_goal,67,h
2019-2020,36dc1eb8,Ismaila Sarr,bfdb33aa,goal,71,h
2019-2020,6edbd555,Fabian Schär,c8aa95da,goal,56,h
2019-2020,6edbd555,Dominic Calvert-Lewin,59e6e5bf,goal,13,a
2019-2020,6edbd555,Dominic Calvert-Lewin,59e6e5bf,goal,64,a
2019-2020,a8ab1213,Danny Ings,07802f7f,goal,74,h
2019-2020,a8ab1213,James Tomkins,e7ca0439,goal,50,a
2019-2020,1f2bd890,Pablo Fornals,82927de4,goal,45,h
2019-2020,1f2bd890,Kelechi Iheanacho,c92e1a31,goal,40,a
2019-2020,1f2bd890,Demarai Gray,4468ec10,goal,56,a
2019-2020,a6e8ab71,Mario Vrančić,16fa6881,goal,18,h
2019-2020,a6e8ab71,Serge Aurier,5c2b4f07,own_goal,61,h
2019-2020,a6e8ab71,Christian Eriksen,980522ec,goal,55,a
2019-2020,a6e8ab71,Harry Kane,21a66f6a,penalty_goal,83,a
2019-2020,f66bbb03,Anthony Martial,8b788c01,goal,44,a
2019-2020,f66bbb03,Marcus Rashford,a1d5bd30,goal,90+5,a
2019-2020,850e18c6,Pierre-Emerick Aubameyang,d5dd5f1f,goal,13,h
2019-2020,850e18c6,Jorginho,45db685d,goal,83,a
2019-2020,850e18c6,Tammy Abraham,f586779e,goal,87,a
2019-2020,9892a4f1,Sadio Mané,c691bfe2,goal,42,h
2019-2020,aaada016,Sergio Agüero,4d034881,goal,52,h
2019-2020,aaada016,Kevin De Bruyne,e46012d4,goal,82,h
2019-2020,9b72407a,Alireza Jahanbakhsh,08452314,goal,84,h
2019-2020,9b72407a,César Azpilicueta,53cad200,goal,10,a
2019-2020,ac409026,Chris Wood,4e9a0555,goal,80,h
2019-2020,ac409026,Wesley Moraes,bfae110f,goal,27,a
2019-2020,ac409026,Jack Grealish,b0b4fd3e,goal,41,a
2019-2020,dc2a86e8,Gerard Deulofeu,39583cfd,goal,30,h
2019-2020,dc2a86e8,Abdoulaye Doucouré,02b29014,goal,49,h
2019-2020,dc2a86e8,Christian Kabasele,914ab9a1,red_card,71,h
2019-2020,dc2a86e8,Pedro Neto,7ba2eaa9,goal,60,a
2019-2020,a7902bb1,Ayoze Pérez,819aa8e7,goal,36,a
2019-2020,a7902bb1,James Maddison,ee38d9c5,goal,39,a
2019-2020,a7902bb1,Hamza Choudhury,7d2d3329,goal,87,a
2019-2020,ce2fad1e,Danny Ings,07802f7f,goal,17,h
2019-2020,9ae01aab,Mark Noble,ff527768,goal,17,h
2019-2020,9ae01aab,Sébastien Haller,ba115a40,goal,25,h
2019-2020,9ae01aab,Mark Noble,ff527768,penalty_goal,35,h
2019-2020,9ae01aab,Felipe Anderson,9f1893b9,goal,66,h
2019-2020,5bbec2c4,Todd Cantwell,f63d8a4b,goal,4,h
2019-2020,5bbec2c4,Connor Wickham,41cc19c2,goal,85,a
2019-2020,ed58271e,Gabriel Jesus,b66315ae,goal,51,h
2019-2020,ed58271e,Gabriel Jesus,b66315ae,goal,58,h
2019-2020,ed58271e,Richarlison,fa031b34,goal,71,a
2019-2020,f6b7d570,Nicolas Pépé,57e3f0c7,goal,8,h
2019-2020,f6b7d570,Sokratis Papastathopoulos,b682dcf6,goal,42,h
2019-2020,7fe3382b,Mohamed Salah,e342ad68,goal,4,h
2019-2020,7fe3382b,Sadio Mané,c691bfe2,goal,64,h
2019-2020,c5f47ccb,Oliver McBurnie,78b8ac63,goal,53,h
2019-2020,e1fdc1f9,Jordan Ayew,da052c14,goal,54,h
2019-2020,e1fdc1f9,Pierre-Emerick Aubameyang,d5dd5f1f,goal,12,a
2019-2020,e1fdc1f9,Pierre-Emerick Aubameyang,d5dd5f1f,red_card,67,a
2019-2020,17a5a8ef,Jorginho,45db685d,penalty_goal,27,h
2019-2020,17a5a8ef,Tammy Abraham,f586779e,goal,38,h
2019-2020,17a5a8ef,Callum Hudson-Odoi,15f3ec41,goal,49,h
2019-2020,bf752bf7,Dennis Praet,86695068,goal,14,h
2019-2020,bf752bf7,Stuart Armstrong,97333cf5,goal,19,a
2019-2020,bf752bf7,Danny Ings,07802f7f,goal,81,a
2019-2020,db192bf5,Marcus Rashford,a1d5bd30,goal,27,h
2019-2020,db192bf5,Marcus Rashford,a1d5bd30,penalty_goal,52,h
2019-2020,db192bf5,Anthony Martial,8b788c01,goal,54,h
2019-2020,db192bf5,Mason Greenwood,58eee997,goal,76,h
2019-2020,61cc2ca5,Richarlison,fa031b34,goal,38,h
2019-2020,d5b1eda9,Leander Dendoncker,5a7301ae,goal,14,h
2019-2020,d5b1eda9,Miguel Almirón,862a1c15,goal,7,a
2019-2020,39432697,Roberto Firmino,4c370d81,goal,37,a
2019-2020,76ce7bd8,Abdoulaye Doucouré,02b29014,goal,42,a
2019-2020,76ce7bd8,Troy Deeney,82e34b69,goal,65,a
2019-2020,76ce7bd8,Roberto Pereyra,75f2c59f,goal,90+2,a
2019-2020,ffb4946c,Anwar El Ghazi,ffa90327,penalty_goal,90+1,h
2019-2020,ffb4946c,Riyad Mahrez,892d5bb1,goal,18,a
2019-2020,ffb4946c,Riyad Mahrez,892d5bb1,goal,24,a
2019-2020,ffb4946c,Sergio Agüero,4d034881,goal,28,a
2019-2020,ffb4946c,Gabriel Jesus,b66315ae,goal,45+1,a
2019-2020,ffb4946c,Sergio Agüero,4d034881,goal,57,a
2019-2020,ffb4946c,Sergio Agüero,4d034881,goal,81,a
2019-2020,bd044bad,Leandro Trossard,38ceb24a,goal,38,h
2019-2020,bd044bad,Jack Grealish,b0b4fd3e,goal,75,a
2019-2020,4572cd0e,Sergio Agüero,4d034881,goal,82,h
2019-2020,4572cd0e,Sergio Agüero,4d034881,goal,87,h
2019-2020,4572cd0e,Cenk Tosun,9a104dee,goal,39,a
2019-2020,4572cd0e,Fernandinho,101da2b5,own_goal,90,a
2019-2020,d4898eac,Issa Diop,a712ca2b,goal,40,h
2019-2020,d4898eac,Dominic Calvert-Lewin,59e6e5bf,goal,44,a
2019-2020,2550abdc,Teemu Pukki,0745b37d,penalty_goal,33,h
2019-2020,2550abdc,Ben Godfrey,9f7c837d,red_card,76,h
2019-2020,2550abdc,Steve Cook,3e5e4e63,red_card,31,a
2019-2020,9d6674f8,Jan Bednarek,4115ce4e,goal,15,h
2019-2020,9d6674f8,Shane Long,9f472354,goal,35,h
2019-2020,9d6674f8,Pedro Neto,7ba2eaa9,goal,53,a
2019-2020,9d6674f8,Raúl Jiménez,b561db50,penalty_goal,65,a
2019-2020,9d6674f8,Raúl Jiménez,b561db50,goal,76,a
2019-2020,0333a4b6,Martinelli,48a5a5d6,goal,45,h
2019-2020,0333a4b6,John Fleck,b63e789d,goal,83,a
2019-2020,e5a20f1e,Isaac Hayden,c951a6df,goal,90+4,h
2019-2020,bd102a2b,Chris Wood,4e9a0555,goal,56,h
2019-2020,bd102a2b,Ashley Westwood,495945ef,goal,79,h
2019-2020,bd102a2b,Harvey Barnes,3ea50f67,goal,33,a
2019-2020,d2a888b6,Virgil van Dijk,e06683ca,goal,14,h
2019-2020,d2a888b6,Mohamed Salah,e342ad68,goal,90+3,h
2019-2020,003ce1e3,Nathan Redmond,ab651565,goal,22,a
2019-2020,003ce1e3,Stuart Armstrong,97333cf5,goal,48,a
2019-2020,ba03a070,Harry Wilson,c6dc9ecd,goal,36,h
2019-2020,ba03a070,Pascal Groß,8aec0537,own_goal,41,h
2019-2020,ba03a070,Callum Wilson,c596fcb0,goal,74,h
2019-2020,ba03a070,Aaron Mooy,47b7e3af,goal,81,a
2019-2020,3deb145e,Douglas Luiz,6f7d826d,goal,68,h
2019-2020,3deb145e,Tyrone Mings,8397a50c,goal,90+5,h
2019-2020,3deb145e,Troy Deeney,82e34b69,goal,38,a
2019-2020,ae7cb0c2,Sergio Agüero,4d034881,goal,73,a
2019-2020,33b8c50a,Moise Kean,3d50bcdb,goal,30,h
2019-2020,33b8c50a,Dominic Calvert-Lewin,59e6e5bf,goal,54,h
2019-2020,33b8c50a,Florian Lejeune,6eaed4eb,goal,90+4,a
2019-2020,33b8c50a,Florian Lejeune,6eaed4eb,goal,90+5,a
2019-2020,38d058ad,Jorginho,45db685d,penalty_goal,28,h
2019-2020,38d058ad,César Azpilicueta,53cad200,goal,84,h
2019-2020,38d058ad,David Luiz,c0e27d1a,red_card,26,a
2019-2020,38d058ad,Martinelli,48a5a5d6,goal,63,a
2019-2020,38d058ad,Héctor Bellerín,f874dd44,goal,87,a
2019-2020,354b03ac,Harvey Barnes,3ea50f67,goal,24,h
2019-2020,354b03ac,Ricardo Pereira,75a72a99,goal,45+5,h
2019-2020,354b03ac,Ayoze Pérez,819aa8e7,penalty_goal,81,h
2019-2020,354b03ac,Ayoze Pérez,819aa8e7,goal,88,h
2019-2020,354b03ac,Mark Noble,ff527768,penalty_goal,50,a
2019-2020,b36a7b4d,Dele Alli,cea4ee8f,goal,38,h
2019-2020,b36a7b4d,Son Heung-min,92e7e919,goal,79,h
2019-2020,b36a7b4d,Teemu Pukki,0745b37d,penalty_goal,70,a
2019-2020,709e2aa4,Chris Wood,4e9a0555,goal,39,a
2019-2020,709e2aa4,Jay Rodriguez,4ab53cdb,goal,56,a
2019-2020,efd768f0,Raúl Jiménez,b561db50,goal,51,h
2019-2020,efd768f0,Jordan Henderson,935e6b8f,goal,8,a
2019-2020,efd768f0,Roberto Firmino,4c370d81,goal,84,a
2019-2020,7b057bc1,Mohamed Salah,e342ad68,penalty_goal,35,a
2019-2020,7b057bc1,Alex Oxlade-Chamberlain,38c7feef,goal,52,a
2019-2020,270dc7ba,Harvey Barnes,3ea50f67,goal,54,h
2019-2020,270dc7ba,Ben Chilwell,d2424d1b,goal,64,h
2019-2020,270dc7ba,Antonio Rüdiger,18b896d6,goal,46,a
2019-2020,270dc7ba,Antonio Rüdiger,18b896d6,goal,71,a
2019-2020,476d12a9,Adam Masina,de0f152c,goal,10,h
2019-2020,476d12a9,Roberto Pereyra,75f2c59f,goal,42,h
2019-2020,476d12a9,Yerry Mina,6d5701f2,goal,45+1,a
2019-2020,476d12a9,Yerry Mina,6d5701f2,goal,45+4,a
2019-2020,476d12a9,Fabian Delph,111c3236,yellow_red_card,71,a
2019-2020,476d12a9,Theo Walcott,1ecb65be,goal,90,a
2019-2020,db21a88a,Philip Billing,d328a254,goal,37,h
2019-2020,db21a88a,Nathan Aké,eaeca114,goal,44,h
2019-2020,db21a88a,Jefferson Lerma,9b5ce51a,yellow_red_card,51,h
2019-2020,db21a88a,Mbwana Samatta,dae8623e,goal,70,a
2019-2020,ab9e9e23,Alex Oxlade-Chamberlain,38c7feef,goal,47,h
2019-2020,ab9e9e23,Jordan Henderson,935e6b8f,goal,60,h
2019-2020,ab9e9e23,Mohamed Salah,e342ad68,goal,71,h
2019-2020,ab9e9e23,Mohamed Salah,e342ad68,goal,90,h
2019-2020,6b34e6af,Vicente Guaita,ab13a5aa,own_goal,58,a
2019-2020,14d877cc,Issa Diop,a712ca2b,goal,30,h
2019-2020,14d877cc,Robert Snodgrass,9f4647e9,goal,45,h
2019-2020,14d877cc,Robert Snodgrass,9f4647e9,goal,57,h
2019-2020,14d877cc,Angelo Ogbonna,74b2cd7e,own_goal,47,a
2019-2020,14d877cc,Pascal Groß,8aec0537,goal,75,a
2019-2020,14d877cc,Glenn Murray,f2f29dda,goal,79,a
2019-2020,e98d8736,Steven Bergwijn,a29b1131,goal,63,h
2019-2020,e98d8736,Son Heung-min,92e7e919,goal,71,h
2019-2020,e98d8736,Oleksandr Zinchenko,51cf8561,yellow_red_card,60,a
2019-2020,4e620966,Bernard,ab4b3e35,goal,18,h
2019-2020,4e620966,Richarlison,fa031b34,goal,58,h
2019-2020,4e620966,Dominic Calvert-Lewin,59e6e5bf,goal,88,h
2019-2020,4e620966,Christian Benteke,ab070c55,goal,51,a
2019-2020,111b8b45,Adrian Mariappa,8aa5f52c,own_goal,78,h
2019-2020,111b8b45,Abdoulaye Doucouré,02b29014,goal,19,a
2019-2020,9dbc60d4,Billy Sharp,e8c9f4e9,goal,45+2,h
2019-2020,9dbc60d4,John Lundstram,0df2b165,goal,84,h
2019-2020,9dbc60d4,Callum Wilson,c596fcb0,goal,13,a
2019-2020,a11273b7,Hamza Choudhury,7d2d3329,yellow_red_card,76,a
2019-2020,738ade70,Danny Ings,07802f7f,goal,18,h
2019-2020,738ade70,Ashley Westwood,495945ef,goal,2,a
2019-2020,738ade70,Matěj Vydra,0d4ceb32,goal,60,a
2019-2020,9c238122,Sadio Mané,c691bfe2,goal,78,a
2019-2020,ebfe971d,Toby Alderweireld,f7d50789,own_goal,9,h
2019-2020,ebfe971d,Björn Engels,4fdf1fd9,goal,53,h
2019-2020,ebfe971d,Toby Alderweireld,f7d50789,goal,27,a
2019-2020,ebfe971d,Son Heung-min,92e7e919,goal,45+2,a
2019-2020,ebfe971d,Son Heung-min,92e7e919,goal,90+4,a
2019-2020,6ce374b0,Pierre-Emerick Aubameyang,d5dd5f1f,goal,54,h
2019-2020,6ce374b0,Nicolas Pépé,57e3f0c7,goal,57,h
2019-2020,6ce374b0,Mesut Özil,16380240,goal,90,h
2019-2020,6ce374b0,Alexandre Lacazette,9dbb75ca,goal,90+5,h
2019-2020,2619bcb9,Anthony Martial,8b788c01,goal,45,a
2019-2020,2619bcb9,Harry Maguire,d8931174,goal,66,a
2019-2020,bc091e86,Rodri,6434f10d,goal,30,h
2019-2020,bc091e86,Kevin De Bruyne,e46012d4,goal,62,h
2019-2020,fdd364a6,Olivier Giroud,16ceb862,goal,15,h
2019-2020,fdd364a6,Marcos Alonso,f4290206,goal,48,h
2019-2020,fdd364a6,Antonio Rüdiger,18b896d6,own_goal,89,a
2019-2020,66823ac4,Shane Long,9f472354,goal,8,h
2019-2020,66823ac4,Stuart Armstrong,97333cf5,goal,90+5,h
2019-2020,c24b02bd,Enda Stevens,17d4507a,goal,26,h
2019-2020,c24b02bd,Neal Maupay,4bcf39f6,goal,30,a
2019-2020,bcdc3fb0,Matěj Vydra,0d4ceb32,goal,53,h
2019-2020,bcdc3fb0,Jay Rodriguez,4ab53cdb,penalty_goal,61,h
2019-2020,bcdc3fb0,Dwight McNeil,fc15fb84,goal,87,h
2019-2020,5947b8fb,Patrick van Aanholt,5f09991f,goal,44,h
2019-2020,5947b8fb,Valentino Lazaro,016ff750,red_card,90+5,a
2019-2020,4f00e03a,Gabriel Jesus,b66315ae,goal,80,a
2019-2020,09ec6552,Diogo Jota,178ae8f8,goal,19,h
2019-2020,09ec6552,Diogo Jota,178ae8f8,goal,30,h
2019-2020,09ec6552,Raúl Jiménez,b561db50,goal,50,h
2019-2020,835d0c36,Bruno Fernandes,507c7bdf,penalty_goal,42,h
2019-2020,835d0c36,Anthony Martial,8b788c01,goal,58,h
2019-2020,835d0c36,Mason Greenwood,58eee997,goal,75,h
2019-2020,485003ed,Eddie Nketiah,a53649b7,goal,27,h
2019-2020,485003ed,Pierre-Emerick Aubameyang,d5dd5f1f,goal,33,h
2019-2020,485003ed,Pierre-Emerick Aubameyang,d5dd5f1f,goal,46,h
2019-2020,485003ed,Dominic Calvert-Lewin,59e6e5bf,goal,1,a
2019-2020,485003ed,Richarlison,fa031b34,goal,45+4,a
2019-2020,3aee1ba7,Georginio Wijnaldum,eb58eef0,goal,9,h
2019-2020,3aee1ba7,Mohamed Salah,e342ad68,goal,68,h
2019-2020,3aee1ba7,Sadio Mané,c691bfe2,goal,81,h
2019-2020,3aee1ba7,Issa Diop,a712ca2b,goal,12,a
2019-2020,3aee1ba7,Pablo Fornals,82927de4,goal,54,a
2019-2020,8edf3e12,Jamal Lewis,efb9215a,goal,70,h
2019-2020,aeb979e2,Jordan Ayew,da052c14,goal,70,a
2019-2020,57d79762,Jefferson Lerma,9b5ce51a,goal,54,h
2019-2020,57d79762,Joshua King,43458538,goal,57,h
2019-2020,57d79762,Marcos Alonso,f4290206,goal,33,a
2019-2020,57d79762,Marcos Alonso,f4290206,goal,85,a
2019-2020,2cb790f2,Jarrod Bowen,79c84d1c,goal,15,h
2019-2020,2cb790f2,Sébastien Haller,ba115a40,goal,40,h
2019-2020,2cb790f2,Michail Antonio,ac05f970,goal,54,h
2019-2020,2cb790f2,Michael Obafemi,caa1a7f0,goal,31,a
2019-2020,4df69c15,Ismaila Sarr,bfdb33aa,goal,54,h
2019-2020,4df69c15,Ismaila Sarr,bfdb33aa,goal,60,h
2019-2020,4df69c15,Troy Deeney,82e34b69,goal,72,h
2019-2020,ea2c2272,Dominic Calvert-Lewin,59e6e5bf,goal,3,h
2019-2020,ea2c2272,Bruno Fernandes,507c7bdf,goal,31,a
2019-2020,2475762d,Steven Bergwijn,a29b1131,goal,13,h
2019-2020,2475762d,Serge Aurier,5c2b4f07,goal,45,h
2019-2020,2475762d,Matt Doherty,d557d734,goal,27,a
2019-2020,2475762d,Diogo Jota,178ae8f8,goal,57,a
2019-2020,2475762d,Raúl Jiménez,b561db50,goal,73,a
2019-2020,a24ed8fc,Mohamed Salah,e342ad68,goal,25,h
2019-2020,a24ed8fc,Sadio Mané,c691bfe2,goal,33,h
2019-2020,a24ed8fc,Callum Wilson,c596fcb0,goal,9,a
2019-2020,fcdf913d,Billy Sharp,e8c9f4e9,goal,36,h
2019-2020,7535d777,Jordan Ayew,da052c14,goal,28,h
2019-2020,947a04e9,Moussa Djenepo,254147d4,red_card,28,h
2019-2020,947a04e9,Allan Saint-Maximin,2b16cb1a,goal,79,a
2019-2020,bf382825,Alexandre Lacazette,9dbb75ca,goal,78,h
2019-2020,1b4c17ec,Chris Wood,4e9a0555,goal,13,h
2019-2020,1b4c17ec,Dele Alli,cea4ee8f,penalty_goal,50,a
2019-2020,c062bff0,Mason Mount,9674002f,goal,14,h
2019-2020,c062bff0,Pedro,3ca7254a,goal,21,h
2019-2020,c062bff0,Willian,8b9ebd03,goal,51,h
2019-2020,c062bff0,Olivier Giroud,16ceb862,goal,54,h
2019-2020,04416d35,Anthony Martial,8b788c01,goal,30,h
2019-2020,04416d35,Scott McTominay,d93c2511,goal,90+6,h
2019-2020,76f492dc,Harvey Barnes,3ea50f67,goal,40,h
2019-2020,76f492dc,Jamie Vardy,45963054,penalty_goal,63,h
2019-2020,76f492dc,Jamie Vardy,45963054,goal,79,h
2019-2020,76f492dc,Harvey Barnes,3ea50f67,goal,85,h
2019-2020,5825b217,Raheem Sterling,b400bde0,goal,45+2,h
2019-2020,5825b217,Kevin De Bruyne,e46012d4,penalty_goal,51,h
2019-2020,5825b217,Phil Foden,ed1e53f3,goal,90+1,h
2019-2020,5825b217,David Luiz,c0e27d1a,red_card,49,a
2019-2020,d659cbdf,Danny Ings,07802f7f,goal,49,a
2019-2020,d659cbdf,Stuart Armstrong,97333cf5,goal,54,a
2019-2020,d659cbdf,Nathan Redmond,ab651565,goal,79,a
2019-2020,973a441a,Steven Bergwijn,a29b1131,goal,27,h
2019-2020,973a441a,Bruno Fernandes,507c7bdf,penalty_goal,81,a
2019-2020,e5f403c2,Craig Dawson,3e9e06cb,goal,90+3,h
2019-2020,e5f403c2,Ben Chilwell,d2424d1b,goal,90,a
2019-2020,1abcdcde,Lewis Dunk,282f75f3,goal,75,h
2019-2020,1abcdcde,Neal Maupay,4bcf39f6,goal,90+5,h
2019-2020,1abcdcde,Nicolas Pépé,57e3f0c7,goal,68,a
2019-2020,6ddd148a,Raúl Jiménez,b561db50,goal,73,a
2019-2020,6ddd148a,Pedro Neto,7ba2eaa9,goal,84,a
