season,matchid,player,playerid,eventtype,minute,team
2020-2021,a3eca3e6,Sergio Carreira,8d6a9c93,goal,52,a
2020-2021,d9287a79,Álvaro Negredo,63b0ca6b,goal,36,a
2020-2021,d9287a79,Salvi,405f267a,goal,39,a
2020-2021,93673585,Eden Hazard,a39bb753,goal,40,h
2020-2021,93673585,Karim Benzema,70d74ece,goal,45,h
2020-2021,93673585,Federico Valverde,0959c2a2,goal,54,h
2020-2021,93673585,Karim Benzema,70d74ece,goal,90,h
2020-2021,93673585,David Ferreiro,8970907e,goal,74,a
2020-2021,9ac1528e,Iker Muniain,c05dfb74,goal,76,h
2020-2021,9ac1528e,Oihan Sancet,bdb624a3,goal,86,h
2020-2021,9ac1528e,Youssef En-Nesyri,04e17fd5,goal,9,a
2020-2021,649ad5eb,Ante Budimir,8f3565b3,goal,80,h
2020-2021,649ad5eb,João Félix,8aafd64f,penalty_goal,43,a
2020-2021,649ad5eb,João Félix,8aafd64f,goal,69,a
2020-2021,649ad5eb,Lucas Torreira,52611641,goal,88,a
2020-2021,87d962cb,Luis Rioja,eb3dd471,goal,31,h
2020-2021,87d962cb,Jota,9f351459,yellow_red_card,62,h
2020-2021,87d962cb,Antoine Griezmann,df69b544,goal,63,a
2020-2021,61ffbad2,Antonio Sanabria,0a447501,goal,7,h
2020-2021,61ffbad2,Cristian Tello,72a99e38,goal,29,h
2020-2021,61ffbad2,Cristian Tello,72a99e38,goal,56,h
2020-2021,61ffbad2,Josan,5b28b2f6,goal,60,a
2020-2021,9532015b,Iago Aspas,7dcf86f6,penalty_goal,77,h
2020-2021,9532015b,José Fontán,1827a42d,yellow_red_card,90+3,h
2020-2021,9532015b,David Silva,e2716bd0,goal,24,a
2020-2021,9532015b,Mikel Oyarzabal,8c3c640c,goal,34,a
2020-2021,9532015b,Willian José,d87e2cae,goal,54,a
2020-2021,9532015b,Willian José,d87e2cae,goal,81,a
2020-2021,1da39788,Darwin Machís,ed6ea4d9,goal,8,h
2020-2021,1da39788,Maxime Gonalons,b8c1de25,red_card,16,h
2020-2021,1da39788,Rúben Vezo,c67cd65c,goal,34,a
2020-2021,627831a7,Yunus Musah,b51b1b9c,goal,22,h
2020-2021,627831a7,Thierry Correia,c78b352d,yellow_red_card,56,h
2020-2021,627831a7,Carlos Soler,fed17f5a,penalty_goal,90+10,h
2020-2021,627831a7,Cucho,71b47ab9,goal,87,a
2020-2021,627831a7,Ángel Rodríguez,8cfc2f69,goal,90+4,a
2020-2021,627831a7,Damián Suárez,ba5004e1,yellow_red_card,90+8,a
2020-2021,965ae0ee,Samuel Chukwueze,b8a642fc,goal,21,h
2020-2021,965ae0ee,Pau Torres,532e1e4f,goal,37,h
2020-2021,53c05fc6,Fidel,eb82b6f1,penalty_goal,4,h
2020-2021,53c05fc6,Santi Mina,0b90bb97,goal,41,a
2020-2021,52688e00,Rafa Mir,bbf5c11b,goal,67,h
2020-2021,52688e00,Esteban Burgos,40449bbd,goal,38,a
2020-2021,1c5be3e6,Ousmane Dembélé,b19db005,goal,22,h
2020-2021,1c5be3e6,Antoine Griezmann,df69b544,goal,49,h
